model,distractor_mix,method,n,success,steps,wrong_tool_count,premature_action_count,avg_tools_per_step,gold_exposure_rate,no_visible_rate,risky_visible_count,unauthorized_risky_visible_count,input_tokens,output_tokens,total_tokens
openai.gpt-oss-120b-1:0,cross_domain,all_tools,90,0.26666666666666666,4.933333333333334,3.2444444444444445,0.0,111.66666666666667,0.9333333333333333,0.06666666666666667,34.53333333333333,32.12222222222222,43321.75555555556,1024.9777777777779,44346.73333333333
openai.gpt-oss-120b-1:0,cross_domain,cmtf,90,0.9888888888888889,3.422222222222222,0.05555555555555555,0.0,0.9888888888888889,0.9888888888888889,0.011111111111111112,0.6222222222222222,0.0,876.0888888888888,840.2666666666667,1716.3555555555556
openai.gpt-oss-120b-1:0,cross_domain,full_causal_path,90,0.18888888888888888,5.288888888888889,3.811111111111111,0.0,3.2142592592592587,0.9666666666666667,0.03333333333333333,0.32222222222222224,0.0,2188.488888888889,1075.5444444444445,3264.0333333333333
openai.gpt-oss-120b-1:0,cross_domain,keyword_top_10,90,0.4666666666666667,4.3,1.9222222222222223,0.03333333333333333,9.11111111111111,0.7648148148148147,0.08888888888888889,10.38888888888889,8.522222222222222,4090.233333333333,1048.088888888889,5138.322222222222
openai.gpt-oss-120b-1:0,cross_domain,keyword_top_5,90,0.4,4.966666666666667,1.8444444444444446,1.2,4.944444444444445,0.6277777777777778,0.011111111111111112,6.777777777777778,5.933333333333334,2808.9777777777776,1134.9,3943.8777777777777
openai.gpt-oss-120b-1:0,cross_domain,state_aware,90,0.2,5.211111111111111,3.7444444444444445,0.0,3.190740740740741,0.9555555555555556,0.044444444444444446,0.36666666666666664,0.0,2166.777777777778,1062.7777777777778,3229.5555555555557
openai.gpt-oss-120b-1:0,mixed,all_tools,90,0.3,5.111111111111111,3.2222222222222223,0.0,121.11111111111111,0.9777777777777777,0.022222222222222223,211.16666666666666,190.32222222222222,52670.11111111111,1008.1,53678.21111111111
openai.gpt-oss-120b-1:0,mixed,cmtf,90,0.9666666666666667,3.3,0.022222222222222223,0.0,0.9666666666666667,0.9666666666666667,0.03333333333333333,0.5888888888888889,0.0,844.4888888888889,784.8,1629.2888888888888
openai.gpt-oss-120b-1:0,mixed,full_causal_path,90,0.16666666666666666,5.488888888888889,4.1,0.0,23.12796296296296,0.9777777777777777,0.022222222222222223,36.266666666666666,31.88888888888889,11649.41111111111,1063.2111111111112,12712.622222222222
openai.gpt-oss-120b-1:0,mixed,keyword_top_10,90,0.3111111111111111,3.1333333333333333,1.0777777777777777,0.4888888888888889,6.888888888888889,0.4537037037037037,0.3111111111111111,10.277777777777779,9.422222222222222,3067.4666666666667,792.7555555555556,3860.222222222222
