model,menu_size,method,n,success,steps,wrong_tool_count,premature_action_count,avg_tools_per_step,gold_exposure_rate,no_visible_rate,risky_visible_count,unauthorized_risky_visible_count,input_tokens,output_tokens,total_tokens
openai.gpt-oss-120b-1:0,25,all_tools,210,0.3047619047619048,5.242857142857143,3.361904761904762,0.0,24.88095238095238,0.9952380952380953,0.004761904761904762,43.40952380952381,39.54761904761905,11388.861904761905,1054.2666666666667,12443.128571428571
openai.gpt-oss-120b-1:0,25,cmtf,210,0.9761904761904762,3.414285714285714,0.09523809523809523,0.0,0.9809523809523809,0.9809523809523809,0.01904761904761905,0.6190476190476191,0.0,873.7190476190476,848.5333333333333,1722.252380952381
openai.gpt-oss-120b-1:0,25,full_causal_path,210,0.21428571428571427,5.357142857142857,3.857142857142857,0.0,4.068095238095238,0.9761904761904762,0.023809523809523808,1.6714285714285715,1.1428571428571428,2601.8,1039.3857142857144,3641.1857142857143
openai.gpt-oss-120b-1:0,25,keyword_top_10,210,0.4380952380952381,4.6761904761904765,2.0619047619047617,0.3619047619047619,9.619047619047619,0.7555555555555555,0.0380952380952381,13.223809523809523,11.428571428571429,4513.509523809524,1089.6333333333334,5603.142857142857
openai.gpt-oss-120b-1:0,25,keyword_top_5,210,0.3523809523809524,4.895238095238096,1.8428571428571427,1.1904761904761905,4.833333333333333,0.5662698412698413,0.03333333333333333,6.333333333333333,5.647619047619048,2792.404761904762,1191.1,3983.504761904762
openai.gpt-oss-120b-1:0,25,state_aware,210,0.19523809523809524,5.390476190476191,3.9095238095238094,0.0,4.050634920634921,0.9761904761904762,0.023809523809523808,1.561904761904762,1.0285714285714285,2609.3142857142857,1095.2142857142858,3704.5285714285715
openai.gpt-oss-120b-1:0,100,all_tools,210,0.3,5.147619047619048,3.376190476190476,0.0,98.0952380952381,0.9809523809523809,0.01904761904761905,171.35238095238094,161.3047619047619,42578.990476190476,994.7,43573.69047619047
openai.gpt-oss-120b-1:0,100,cmtf,210,0.9952380952380953,3.419047619047619,0.03333333333333333,0.0,0.9952380952380953,0.9952380952380953,0.004761904761904762,0.6190476190476191,0.0,875.2857142857143,808.847619047619,1684.1333333333334
openai.gpt-oss-120b-1:0,100,full_causal_path,210,0.17142857142857143,5.4,3.9952380952380953,0.0,19.425079365079363,0.9714285714285714,0.02857142857142857,29.995238095238093,26.285714285714285,9939.980952380953,1100.5714285714287,11040.55238095238
openai.gpt-oss-120b-1:0,100,keyword_top_10,210,0.37142857142857144,4.3238095238095235,1.8714285714285714,0.4666666666666667,8.80952380952381,0.6190476190476191,0.11904761904761904,12.195238095238095,10.81904761904762,4195.204761904762,1076.0333333333333,5271.238095238095
openai.gpt-oss-120b-1:0,100,keyword_top_5,210,0.3523809523809524,4.742857142857143,1.7333333333333334,1.2,4.690476190476191,0.5432539682539682,0.06190476190476191,6.728571428571429,6.038095238095238,2707.1285714285714,1166.9238095238095,3874.052380952381
openai.gpt-oss-120b-1:0,100,state_aware,210,0.20476190476190476,5.514285714285714,4.004761904761905,0.0,18.967301587301588,0.9904761904761905,0.009523809523809525,30.02857142857143,24.095238095238095,9805.52380952381,1130.6904761904761,10936.214285714286
openai.gpt-oss-120b-1:0,250,all_tools,210,0.3238095238095238,5.038095238095238,3.138095238095238,0.004761904761904762,241.66666666666666,0.9666666666666667,0.03333333333333333,421.7761904761905,390.35238095238094,103335.9619047619,997.9809523809524,104333.94285714286
openai.gpt-oss-120b-1:0,250,cmtf,210,0.9619047619047619,3.280952380952381,0.047619047619047616,0.0,0.9666666666666667,0.9666666666666667,0.03333333333333333,0.5714285714285714,0.0,837.447619047619,787.004761904762,1624.452380952381
