model,method,n,success,steps,wrong_tool_count,premature_action_count,avg_tools_per_step,gold_exposure_rate,no_visible_rate,risky_visible_count,unauthorized_risky_visible_count,input_tokens,output_tokens,total_tokens
openai.gpt-oss-120b-1:0,all_tools,630,0.30952380952380953,5.142857142857143,3.292063492063492,0.0015873015873015873,121.54761904761905,0.9809523809523809,0.01904761904761905,212.17936507936508,197.06825396825397,52434.60476190476,1015.6492063492063,53450.25396825397
openai.gpt-oss-120b-1:0,cmtf,630,0.9777777777777777,3.3714285714285714,0.05873015873015873,0.0,0.9809523809523809,0.9809523809523809,0.01904761904761905,0.6031746031746031,0.0,862.1507936507936,814.7952380952381,1676.9460317460318
openai.gpt-oss-120b-1:0,full_causal_path,630,0.19682539682539682,5.347619047619047,3.8793650793650793,0.0,23.023544973544972,0.973015873015873,0.026984126984126985,30.387301587301586,25.182539682539684,11486.08253968254,1081.3873015873016,12567.469841269842
openai.gpt-oss-120b-1:0,keyword_top_10,630,0.4126984126984127,4.507936507936508,1.9174603174603175,0.44285714285714284,9.238095238095237,0.6756613756613757,0.0761904761904762,12.709523809523809,11.079365079365079,4369.68253968254,1100.2380952380952,5469.920634920635
openai.gpt-oss-120b-1:0,keyword_top_5,630,0.353968253968254,4.7746031746031745,1.753968253968254,1.1984126984126984,4.722222222222222,0.5464285714285714,0.05555555555555555,6.56031746031746,5.858730158730158,2725.6492063492065,1175.9333333333334,3901.58253968254
openai.gpt-oss-120b-1:0,state_aware,630,0.20317460317460317,5.420634920634921,3.9063492063492062,0.0,23.976296296296294,0.9793650793650793,0.020634920634920634,37.34761904761905,29.2,11983.442857142858,1122.0015873015873,13105.444444444445
us.amazon.nova-2-lite-v1:0,all_tools,630,0.004761904761904762,5.993650793650794,3.8746031746031746,0.0,125.0,1.0,0.0,249.66349206349207,202.31746031746033,60880.12857142857,158.82380952380953,61038.95238095238
us.amazon.nova-2-lite-v1:0,cmtf,630,0.9904761904761905,3.3523809523809525,0.0,0.0,0.9904761904761905,0.9904761904761905,0.009523809523809525,0.5904761904761905,0.0,755.9142857142857,91.17301587301587,847.0873015873016
us.amazon.nova-2-lite-v1:0,full_causal_path,630,0.0,6.0,4.003174603174603,0.0,28.389153439153436,1.0,0.0,48.97142857142857,34.24126984126984,14521.503174603175,139.4936507936508,14660.996825396825
us.amazon.nova-2-lite-v1:0,keyword_top_10,630,0.23015873015873015,5.314285714285714,2.707936507936508,0.6158730158730159,10.0,0.7105820105820106,0.0,14.276190476190477,11.546031746031746,4942.522222222222,131.33015873015873,5073.852380952381
