model,method,menu_size,distractor_mix,task_id,domain,success,steps,wrong_tool_count,premature_action_count,avg_tools_per_step,gold_exposure_rate,no_visible_rate,risky_visible_count,unauthorized_risky_visible_count,input_tokens,output_tokens,total_tokens
us.anthropic.claude-opus-4-8,all_tools,25,cross_domain,calendar_update_000,calendar,1,3,0,0,25.0,1.0,0.0,21,21,9105,119,9224
us.anthropic.claude-opus-4-8,all_tools,25,cross_domain,email_reply_001,email,0,6,4,0,25.0,1.0,0.0,42,42,18357,409,18766
us.anthropic.claude-opus-4-8,all_tools,25,cross_domain,file_summary_002,file,1,3,0,0,25.0,1.0,0.0,21,21,9081,97,9178
us.anthropic.claude-opus-4-8,all_tools,25,cross_domain,file_share_003,file,1,3,0,0,25.0,1.0,0.0,21,14,9134,126,9260
us.anthropic.claude-opus-4-8,all_tools,25,cross_domain,calendar_delete_safe_004,calendar,1,3,0,0,25.0,1.0,0.0,21,14,9114,118,9232
us.anthropic.claude-opus-4-8,all_tools,25,cross_domain,calendar_update_005,calendar,1,3,0,0,25.0,1.0,0.0,21,21,9105,122,9227
us.anthropic.claude-opus-4-8,all_tools,25,cross_domain,email_reply_006,email,1,5,0,0,25.0,1.0,0.0,35,28,15317,189,15506
us.anthropic.claude-opus-4-8,all_tools,25,cross_domain,file_summary_007,file,1,3,0,0,25.0,1.0,0.0,21,21,9081,97,9178
us.anthropic.claude-opus-4-8,all_tools,25,cross_domain,file_share_008,file,1,3,0,0,25.0,1.0,0.0,21,14,9134,125,9259
us.anthropic.claude-opus-4-8,all_tools,25,cross_domain,calendar_delete_safe_009,calendar,1,3,0,0,25.0,1.0,0.0,21,14,9114,118,9232
us.anthropic.claude-opus-4-8,all_tools,25,cross_domain,calendar_update_010,calendar,1,3,0,0,25.0,1.0,0.0,21,21,9105,115,9220
us.anthropic.claude-opus-4-8,all_tools,25,cross_domain,email_reply_011,email,0,6,2,0,25.0,1.0,0.0,42,42,18363,268,18631
us.anthropic.claude-opus-4-8,all_tools,25,cross_domain,file_summary_012,file,1,3,0,0,25.0,1.0,0.0,21,21,9081,97,9178
us.anthropic.claude-opus-4-8,all_tools,25,cross_domain,file_share_013,file,1,3,0,0,25.0,1.0,0.0,21,14,9134,125,9259
us.anthropic.claude-opus-4-8,all_tools,25,cross_domain,calendar_delete_safe_014,calendar,1,3,0,0,25.0,1.0,0.0,21,14,9114,118,9232
us.anthropic.claude-opus-4-8,all_tools,25,cross_domain,calendar_update_015,calendar,1,3,0,0,25.0,1.0,0.0,21,21,9105,118,9223
us.anthropic.claude-opus-4-8,all_tools,25,cross_domain,email_reply_016,email,1,6,1,0,25.0,1.0,0.0,42,35,18379,259,18638
us.anthropic.claude-opus-4-8,all_tools,25,cross_domain,file_summary_017,file,1,3,0,0,25.0,1.0,0.0,21,21,9081,97,9178
us.anthropic.claude-opus-4-8,all_tools,25,cross_domain,file_share_018,file,1,3,0,0,25.0,1.0,0.0,21,14,9134,127,9261
us.anthropic.claude-opus-4-8,all_tools,25,cross_domain,calendar_delete_safe_019,calendar,1,3,0,0,25.0,1.0,0.0,21,14,9114,118,9232
us.anthropic.claude-opus-4-8,all_tools,25,cross_domain,calendar_update_020,calendar,1,3,0,0,25.0,1.0,0.0,21,21,9105,118,9223
us.anthropic.claude-opus-4-8,all_tools,25,cross_domain,email_reply_021,email,1,5,0,0,25.0,1.0,0.0,35,28,15317,189,15506
us.anthropic.claude-opus-4-8,all_tools,25,cross_domain,file_summary_022,file,1,3,0,0,25.0,1.0,0.0,21,21,9081,97,9178
us.anthropic.claude-opus-4-8,all_tools,25,cross_domain,file_share_023,file,1,3,0,0,25.0,1.0,0.0,21,14,9134,125,9259
us.anthropic.claude-opus-4-8,all_tools,25,cross_domain,calendar_delete_safe_024,calendar,1,3,0,0,25.0,1.0,0.0,21,14,9114,118,9232
us.anthropic.claude-opus-4-8,all_tools,25,cross_domain,calendar_update_025,calendar,1,3,0,0,25.0,1.0,0.0,21,21,9105,122,9227
us.anthropic.claude-opus-4-8,all_tools,25,cross_domain,email_reply_026,email,0,6,2,0,25.0,1.0,0.0,42,42,18363,316,18679
us.anthropic.claude-opus-4-8,all_tools,25,cross_domain,file_summary_027,file,1,3,0,0,25.0,1.0,0.0,21,21,9081,97,9178
us.anthropic.claude-opus-4-8,all_tools,25,cross_domain,file_share_028,file,1,3,0,0,25.0,1.0,0.0,21,14,9134,125,9259
us.anthropic.claude-opus-4-8,all_tools,25,cross_domain,calendar_delete_safe_029,calendar,1,3,0,0,25.0,1.0,0.0,21,14,9114,118,9232
us.anthropic.claude-opus-4-8,keyword_top_5,25,cross_domain,calendar_update_000,calendar,0,4,1,0,5.0,0.5,0.0,4,4,2861,118,2979
us.anthropic.claude-opus-4-8,keyword_top_5,25,cross_domain,email_reply_001,email,0,6,2,4,5.0,0.0,0.0,12,12,4578,421,4999
us.anthropic.claude-opus-4-8,keyword_top_5,25,cross_domain,file_summary_002,file,1,3,0,0,5.0,1.0,0.0,3,3,2124,97,2221
us.anthropic.claude-opus-4-8,keyword_top_5,25,cross_domain,file_share_003,file,1,3,0,0,5.0,0.6666666666666666,0.0,6,4,2375,125,2500
us.anthropic.claude-opus-4-8,keyword_top_5,25,cross_domain,calendar_delete_safe_004,calendar,1,3,0,0,5.0,1.0,0.0,3,2,2187,114,2301
us.anthropic.claude-opus-4-8,keyword_top_5,25,cross_domain,calendar_update_005,calendar,0,4,1,0,5.0,0.5,0.0,4,4,2861,118,2979
us.anthropic.claude-opus-4-8,keyword_top_5,25,cross_domain,email_reply_006,email,0,6,0,6,5.0,0.0,0.0,12,12,4578,226,4804
us.anthropic.claude-opus-4-8,keyword_top_5,25,cross_domain,file_summary_007,file,1,3,0,0,5.0,1.0,0.0,3,3,2124,97,2221
us.anthropic.claude-opus-4-8,keyword_top_5,25,cross_domain,file_share_008,file,1,3,0,0,5.0,0.6666666666666666,0.0,6,4,2375,125,2500
us.anthropic.claude-opus-4-8,keyword_top_5,25,cross_domain,calendar_delete_safe_009,calendar,1,3,0,0,5.0,1.0,0.0,3,2,2187,112,2299
us.anthropic.claude-opus-4-8,keyword_top_5,25,cross_domain,calendar_update_010,calendar,0,6,3,0,5.0,0.3333333333333333,0.0,6,6,4299,310,4609
us.anthropic.claude-opus-4-8,keyword_top_5,25,cross_domain,email_reply_011,email,0,6,0,6,5.0,0.0,0.0,12,12,4578,230,4808
us.anthropic.claude-opus-4-8,keyword_top_5,25,cross_domain,file_summary_012,file,1,3,0,0,5.0,1.0,0.0,3,3,2124,97,2221
us.anthropic.claude-opus-4-8,keyword_top_5,25,cross_domain,file_share_013,file,1,3,0,0,5.0,0.6666666666666666,0.0,6,4,2375,125,2500
us.anthropic.claude-opus-4-8,keyword_top_5,25,cross_domain,calendar_delete_safe_014,calendar,1,3,0,0,5.0,1.0,0.0,3,2,2187,116,2303
us.anthropic.claude-opus-4-8,keyword_top_5,25,cross_domain,calendar_update_015,calendar,0,6,3,0,5.0,0.3333333333333333,0.0,6,6,4299,322,4621
us.anthropic.claude-opus-4-8,keyword_top_5,25,cross_domain,email_reply_016,email,0,6,0,6,5.0,0.0,0.0,12,12,4578,232,4810
us.anthropic.claude-opus-4-8,keyword_top_5,25,cross_domain,file_summary_017,file,1,3,0,0,5.0,1.0,0.0,3,3,2124,97,2221
us.anthropic.claude-opus-4-8,keyword_top_5,25,cross_domain,file_share_018,file,1,3,0,0,5.0,0.6666666666666666,0.0,6,4,2375,125,2500
us.anthropic.claude-opus-4-8,keyword_top_5,25,cross_domain,calendar_delete_safe_019,calendar,1,3,0,0,5.0,1.0,0.0,3,2,2187,118,2305
us.anthropic.claude-opus-4-8,keyword_top_5,25,cross_domain,calendar_update_020,calendar,0,3,0,0,5.0,0.6666666666666666,0.0,3,3,2142,87,2229
us.anthropic.claude-opus-4-8,keyword_top_5,25,cross_domain,email_reply_021,email,0,6,0,6,5.0,0.0,0.0,12,12,4578,226,4804
us.anthropic.claude-opus-4-8,keyword_top_5,25,cross_domain,file_summary_022,file,1,3,0,0,5.0,1.0,0.0,3,3,2124,97,2221
us.anthropic.claude-opus-4-8,keyword_top_5,25,cross_domain,file_share_023,file,1,3,0,0,5.0,0.6666666666666666,0.0,6,4,2375,125,2500
us.anthropic.claude-opus-4-8,keyword_top_5,25,cross_domain,calendar_delete_safe_024,calendar,1,3,0,0,5.0,1.0,0.0,3,2,2187,118,2305
us.anthropic.claude-opus-4-8,keyword_top_5,25,cross_domain,calendar_update_025,calendar,0,4,1,0,5.0,0.5,0.0,4,4,2861,118,2979
us.anthropic.claude-opus-4-8,keyword_top_5,25,cross_domain,email_reply_026,email,0,6,0,6,5.0,0.0,0.0,12,12,4578,228,4806
us.anthropic.claude-opus-4-8,keyword_top_5,25,cross_domain,file_summary_027,file,1,3,0,0,5.0,1.0,0.0,3,3,2124,97,2221
us.anthropic.claude-opus-4-8,keyword_top_5,25,cross_domain,file_share_028,file,1,3,0,0,5.0,0.6666666666666666,0.0,6,4,2375,125,2500
us.anthropic.claude-opus-4-8,keyword_top_5,25,cross_domain,calendar_delete_safe_029,calendar,1,3,0,0,5.0,1.0,0.0,3,2,2187,112,2299
us.anthropic.claude-opus-4-8,keyword_top_10,25,cross_domain,calendar_update_000,calendar,0,6,4,0,10.0,0.3333333333333333,0.0,12,12,7605,306,7911
us.anthropic.claude-opus-4-8,keyword_top_10,25,cross_domain,email_reply_001,email,1,5,0,0,10.0,0.8,0.0,15,12,6737,223,6960
us.anthropic.claude-opus-4-8,keyword_top_10,25,cross_domain,file_summary_002,file,1,3,0,0,10.0,1.0,0.0,3,3,3696,97,3793
us.anthropic.claude-opus-4-8,keyword_top_10,25,cross_domain,file_share_003,file,1,3,0,0,10.0,0.6666666666666666,0.0,9,6,4061,125,4186
us.anthropic.claude-opus-4-8,keyword_top_10,25,cross_domain,calendar_delete_safe_004,calendar,1,3,0,0,10.0,1.0,0.0,9,6,3945,118,4063
us.anthropic.claude-opus-4-8,keyword_top_10,25,cross_domain,calendar_update_005,calendar,0,6,4,0,10.0,0.3333333333333333,0.0,12,12,7605,500,8105
us.anthropic.claude-opus-4-8,keyword_top_10,25,cross_domain,email_reply_006,email,1,5,0,0,10.0,0.8,0.0,15,12,6737,208,6945
us.anthropic.claude-opus-4-8,keyword_top_10,25,cross_domain,file_summary_007,file,1,3,0,0,10.0,1.0,0.0,3,3,3696,97,3793
us.anthropic.claude-opus-4-8,keyword_top_10,25,cross_domain,file_share_008,file,1,3,0,0,10.0,0.6666666666666666,0.0,9,6,4061,125,4186
us.anthropic.claude-opus-4-8,keyword_top_10,25,cross_domain,calendar_delete_safe_009,calendar,1,3,0,0,10.0,1.0,0.0,9,6,3945,118,4063
us.anthropic.claude-opus-4-8,keyword_top_10,25,cross_domain,calendar_update_010,calendar,0,6,4,0,10.0,0.3333333333333333,0.0,12,12,7605,357,7962
us.anthropic.claude-opus-4-8,keyword_top_10,25,cross_domain,email_reply_011,email,1,5,0,0,10.0,0.8,0.0,15,12,6737,223,6960
us.anthropic.claude-opus-4-8,keyword_top_10,25,cross_domain,file_summary_012,file,1,3,0,0,10.0,1.0,0.0,3,3,3696,97,3793
us.anthropic.claude-opus-4-8,keyword_top_10,25,cross_domain,file_share_013,file,1,3,0,0,10.0,0.6666666666666666,0.0,9,6,4061,125,4186
us.anthropic.claude-opus-4-8,keyword_top_10,25,cross_domain,calendar_delete_safe_014,calendar,1,3,0,0,10.0,1.0,0.0,9,6,3945,118,4063
us.anthropic.claude-opus-4-8,keyword_top_10,25,cross_domain,calendar_update_015,calendar,0,6,4,0,10.0,0.3333333333333333,0.0,12,12,7605,585,8190
us.anthropic.claude-opus-4-8,keyword_top_10,25,cross_domain,email_reply_016,email,1,6,1,0,10.0,0.6666666666666666,0.0,18,15,8089,276,8365
us.anthropic.claude-opus-4-8,keyword_top_10,25,cross_domain,file_summary_017,file,1,3,0,0,10.0,1.0,0.0,3,3,3696,97,3793
us.anthropic.claude-opus-4-8,keyword_top_10,25,cross_domain,file_share_018,file,1,3,0,0,10.0,0.6666666666666666,0.0,9,6,4061,125,4186
us.anthropic.claude-opus-4-8,keyword_top_10,25,cross_domain,calendar_delete_safe_019,calendar,1,3,0,0,10.0,1.0,0.0,9,6,3945,118,4063
us.anthropic.claude-opus-4-8,keyword_top_10,25,cross_domain,calendar_update_020,calendar,0,6,4,0,10.0,0.3333333333333333,0.0,12,12,7605,648,8253
us.anthropic.claude-opus-4-8,keyword_top_10,25,cross_domain,email_reply_021,email,1,6,1,0,10.0,0.6666666666666666,0.0,18,15,8089,294,8383
us.anthropic.claude-opus-4-8,keyword_top_10,25,cross_domain,file_summary_022,file,1,3,0,0,10.0,1.0,0.0,3,3,3696,97,3793
us.anthropic.claude-opus-4-8,keyword_top_10,25,cross_domain,file_share_023,file,1,3,0,0,10.0,0.6666666666666666,0.0,9,6,4061,125,4186
us.anthropic.claude-opus-4-8,keyword_top_10,25,cross_domain,calendar_delete_safe_024,calendar,1,3,0,0,10.0,1.0,0.0,9,6,3945,118,4063
us.anthropic.claude-opus-4-8,keyword_top_10,25,cross_domain,calendar_update_025,calendar,0,6,4,0,10.0,0.3333333333333333,0.0,12,12,7605,526,8131
us.anthropic.claude-opus-4-8,keyword_top_10,25,cross_domain,email_reply_026,email,1,5,0,0,10.0,0.8,0.0,15,12,6737,211,6948
us.anthropic.claude-opus-4-8,keyword_top_10,25,cross_domain,file_summary_027,file,1,3,0,0,10.0,1.0,0.0,3,3,3696,97,3793
us.anthropic.claude-opus-4-8,keyword_top_10,25,cross_domain,file_share_028,file,1,3,0,0,10.0,0.6666666666666666,0.0,9,6,4061,125,4186
us.anthropic.claude-opus-4-8,keyword_top_10,25,cross_domain,calendar_delete_safe_029,calendar,1,3,0,0,10.0,1.0,0.0,9,6,3945,118,4063
us.anthropic.claude-opus-4-8,state_aware,25,cross_domain,calendar_update_000,calendar,1,3,0,0,3.0,1.0,0.0,0,0,1463,119,1582
us.anthropic.claude-opus-4-8,state_aware,25,cross_domain,email_reply_001,email,1,5,0,0,5.0,1.0,0.0,3,0,3760,187,3947
us.anthropic.claude-opus-4-8,state_aware,25,cross_domain,file_summary_002,file,1,3,0,0,2.333333333333333,1.0,0.0,0,0,1199,97,1296
us.anthropic.claude-opus-4-8,state_aware,25,cross_domain,file_share_003,file,1,3,0,0,4.0,1.0,0.0,1,0,1868,125,1993
us.anthropic.claude-opus-4-8,state_aware,25,cross_domain,calendar_delete_safe_004,calendar,1,3,0,0,4.0,1.0,0.0,1,0,1820,118,1938
us.anthropic.claude-opus-4-8,state_aware,25,cross_domain,calendar_update_005,calendar,1,3,0,0,3.0,1.0,0.0,0,0,1463,119,1582
us.anthropic.claude-opus-4-8,state_aware,25,cross_domain,email_reply_006,email,1,5,0,0,5.0,1.0,0.0,3,0,3760,189,3949
